Id,CATEGORY,HOUSEHOLD_WEIGHT,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,ZINC,SODIUM,VITAMIN_A,VITAMIN_C,VITAMIN_E,VITAMIN_K
207,CHICKEN BREAST TENDERS,0,269.3333333,15.62,16.52333333,.799999992,15.44333333,3.415333333,17,1.083333333,.773333333,451.3333333,0,.266666667,.283333333,7.8
208,CHICKEN NUGGETS,0,286,14.58,14.235,2.25,18.94,3.7835,26.5,1.12,1.025,490.5,26.5,0,1.225,10.5
209,CHICKEN PATTY,0,289.5,14.59,13.225,.75000003,19.81,3.8375,19.5,.94,.995,525,18.5,0,1.23,7.65
210,CHICKEN POT PIE,233.51,214,6.08,23.03,1.200000048,10.83,3.613,29,1.1,.56,380,1053,.3,.16,1.6
211,CHICKPEAS,164,164,8.86,27.42,7.599999905,2.59,.269,49,2.89,1.53,243,27,1.3,.35,4
212,CHICKPEAS,164,164,8.86,27.42,7.599999905,2.59,.269,49,2.89,1.53,7,27,1.3,.35,4
213,CHICKPEAS (GARBANZO BNS,220,241.5,12.125,41.63,10.89999986,3.59,.372,68.5,3.795,2.245,161.5,44,3.9,.41,4.5
214,CHICORY,53,17,.9,4,3.099999905,.1,.024,19,.24,.16,2,29,2.8,0,0
215,CHICORY GREENS,29,23,1.7,4.7,4,.3,.073,100,.9,.42,45,5717,24,2.26,297.6
216,CHICORY ROOTS,60,73,1.4,17.51,0,.2,.048,41,.8,.33,50,6,5,0,0
217,CHILD FORMULA,23.8,223.3333333,7.563333333,24.84,0,10.41666667,8.131666667,207,3.963333333,2.143333333,116,1448.666667,18.36666667,4.42,30.9
218,CHILI,0,118,7.53,6.1,0,7.1,2.255,30,2.01,1.12,389,0,1.8,0,0
219,CHILI CON CARNE W/BNS,246,121,7.09,11.43,3.900000095,5.26,1.74,38,2.61,1.04,424,398,1.4,0,0
220,CHILI WITH BEANS,256,112,5.71,11.91,4.400000095,5.49,2.352,47,3.43,2,522,337,1.7,.52,1.9
221,CHITON,0,83,17.1,0,0,1.6,0,121,16,0,0,1650,0,0,0
222,CHIVES,1.6,170.5,12.235,34.32,14.35000038,2.115,.3685,452.5,10.8,2.84,36.5,36326.5,359.05,.105,106.35
223,CHOC-FLV BEV MIX FOR MILK,266,88,3.33,11.61,0,3.17,1.897,130,.03,.91,51,94,2.3,.06,.3
224,CHOCOLATE SYRUP,282,90,3.07,12.78,.300000012,2.96,1.681,89,.32,.43,47,88,0,.05,.2
225,CHOCOLATE-FLAVOR BEV MIX,266,85,3.23,11.91,.400000006,3.24,1.86,95,.3,.48,58,94,.1,.06,.3
226,CHOCOLATE-FLAVOR BEV MIX FOR MILK,21.8,402.5,3.925,90.59,4.650000095,2.685,2.0535,246,1.57,4.185,173,1,14,.205,4.5
227,CHOCOLATE-FLAVORED DRK,244,49,.64,10.68,.600000024,.4,.31,100,.33,.16,91,200,2,.01,.1
228,CHOKECHERRIES,0,159,2.965,33.75,18.5,1.335,0,50,.545,.26,3.5,105.5,3.1,.55,25.2
229,CHORIZO,28.35,455,24.1,1.86,0,38.27,14.38,8,1.59,3.41,1235,0,0,.22,1.6
230,CHRYSANTHEMUM,75,21.33333333,2.213333333,3.88,2.533333301,.246666667,.007333333,85,3.256666667,.37,153.3333333,2488,16.4,1.666666667,211.8
231,CHRYSANTHEMUM LEAVES,51,24,3.36,3.01,3,.56,0,117,2.3,.71,118,1870,1.4,0,0
